numero_threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.398916,0.017280
1,1000,10000,1.399207,0.177025
1,1000,100000,1.399235,1.973702
1,10000,1000,1.399207,0.192997
1,10000,10000,1.399496,2.055353
1,10000,100000,1.399524,18.554891
1,100000,1000,1.399235,1.871189
1,100000,10000,1.399524,18.085487
1,100000,100000,1.399553,178.255385
2,1000,1000,1.398916,0.013134
2,1000,10000,1.399207,0.115576
2,1000,100000,1.399235,1.148910
2,10000,1000,1.399207,0.164021
2,10000,10000,1.399496,1.134750
2,10000,100000,1.399524,10.560649
2,100000,1000,1.399235,1.169184
2,100000,10000,1.399524,11.342984
2,100000,100000,1.399553,114.071481
4,1000,1000,1.398916,0.008548
4,1000,10000,1.399207,0.077029
4,1000,100000,1.399235,0.789319
4,10000,1000,1.399207,0.083469
4,10000,10000,1.399496,0.816612
4,10000,100000,1.399524,7.343910
4,100000,1000,1.399235,0.868533
4,100000,10000,1.399524,8.515399
4,100000,100000,1.399553,77.056913
8,1000,1000,1.398916,0.014462
8,1000,10000,1.399207,0.101479
8,1000,100000,1.399235,0.772165
8,10000,1000,1.399207,0.118254
8,10000,10000,1.399496,0.794801
8,10000,100000,1.399524,6.207538
8,100000,1000,1.399235,0.828156
8,100000,10000,1.399524,6.614887
8,100000,100000,1.399553,73.055278
